mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_alpha,param_min_child_weight,param_max_depth,param_gamma,param_eta,param_colsample_bytree,param_colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
450.90927476882933,7.888508681190161,0.7165902376174926,0.06781377143345539,0.6,1e-05,6,9,0.0,0.8,0.5,0.7,"{'subsample': 0.6, 'reg_alpha': 1e-05, 'min_child_weight': 6, 'max_depth': 9, 'gamma': 0.0, 'eta': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7}",0.861251015434606,0.8583265637692933,0.8463038180341186,0.8576766856214459,0.8544272948822096,0.8557270511779042,0.853753656158596,0.8495287617809555,0.8558661033474163,0.86041598960026,0.8553276939806805,0.004407755747216445,10
388.91044862270354,1.8644620117833464,0.7137171745300293,0.07109559914695507,0.6,1,6,7,0.0,0.02,0.7,0.5,"{'subsample': 0.6, 'reg_alpha': 1, 'min_child_weight': 6, 'max_depth': 7, 'gamma': 0.0, 'eta': 0.02, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5}",0.8833468724614135,0.8887083671811535,0.8802599512591389,0.882047116165719,0.8796100731112916,0.880097481722177,0.8833279168020799,0.8857653558661034,0.8815404614884628,0.8843028924276893,0.8829006488485229,0.0026929843125098594,6
148.95544259548188,11.057115262902721,0.6873032808303833,0.07656320752559789,1,100,6,9,0.5,0.3,0.5,0.7,"{'subsample': 1, 'reg_alpha': 100, 'min_child_weight': 6, 'max_depth': 9, 'gamma': 0.5, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7}",0.8578391551584078,0.8550771730300568,0.8508529650690495,0.8542648253452477,0.8529650690495532,0.8469536961819659,0.8469288267793306,0.8561910952226194,0.8519662008449789,0.86041598960026,0.8533454996281469,0.004152286094824191,11
250.96306126117707,1.6326680373442366,0.7598460435867309,0.041579756454279936,0.6,0.01,3,7,0.0,0.1,0.3,0.7,"{'subsample': 0.6, 'reg_alpha': 0.01, 'min_child_weight': 3, 'max_depth': 7, 'gamma': 0.0, 'eta': 0.1, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.7}",0.9353371242891958,0.9405361494719741,0.9325751421608448,0.9372867587327376,0.9343623070674248,0.9363119415109666,0.9343516412089697,0.9366265843353916,0.939064023399415,0.940201494962626,0.9366653167139546,0.002508083566993329,1
292.7753077030182,4.678279790712849,0.711331558227539,0.06399036453536724,1,0,6,6,1,0.02,0.5,0.5,"{'subsample': 1, 'reg_alpha': 0, 'min_child_weight': 6, 'max_depth': 6, 'gamma': 1, 'eta': 0.02, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5}",0.879285134037368,0.882859463850528,0.8760357432981316,0.8789601949634444,0.8776604386677498,0.8774979691307879,0.876665583360416,0.8839779005524862,0.8779655508612285,0.8813779655508612,0.8792285944273001,0.0025346978553804174,7
75.83549315929413,0.8885023547401343,0.7159854650497437,0.07424920279502667,0.3,1e-05,1,5,0.5,0.3,0.3,0.3,"{'subsample': 0.3, 'reg_alpha': 1e-05, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 0.5, 'eta': 0.3, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.3}",0.8965069049553209,0.8935824532900081,0.8856214459788789,0.8934199837530463,0.8880584890333063,0.8852965069049553,0.8844653883652909,0.8885277868053298,0.8989275268118297,0.8992525186870328,0.8913659004585,0.005398022360371593,4
295.1558635234833,3.679687974902032,0.737748384475708,0.046389468901781125,0.6,0.1,6,8,0.5,0.8,0.5,0.5,"{'subsample': 0.6, 'reg_alpha': 0.1, 'min_child_weight': 6, 'max_depth': 8, 'gamma': 0.5, 'eta': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5}",0.8705117790414297,0.8687246141348497,0.8532900081234769,0.8615759545085296,0.8586515028432169,0.8615759545085296,0.8617159571010725,0.8605784855378615,0.8691907702307442,0.8677283067923302,0.8633543332822041,0.005228639508787676,9
74.46738736629486,1.3709879966454297,0.6729863882064819,0.08929958168852843,0.3,100,6,8,0.005,0.8,0.5,0.5,"{'subsample': 0.3, 'reg_alpha': 100, 'min_child_weight': 6, 'max_depth': 8, 'gamma': 0.005, 'eta': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5}",0.8437043054427295,0.8445166531275385,0.8367181153533713,0.8350934199837531,0.837855402112104,0.8354183590576767,0.8371790705232369,0.8467663308417289,0.8451413714657133,0.8454663633409165,0.8407859391248769,0.0044546241616789505,14
58.898158168792726,1.493275853250803,0.6270620107650757,0.05228403978317189,0.3,100,9,4,1,0.8,0.5,0.5,"{'subsample': 0.3, 'reg_alpha': 100, 'min_child_weight': 9, 'max_depth': 4, 'gamma': 1, 'eta': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5}",0.8497156783103168,0.8415922014622258,0.8433793663688058,0.8389926888708367,0.8427294882209586,0.8424045491470349,0.840103997400065,0.8470913227169321,0.8477413064673384,0.8467663308417289,0.8440516929806243,0.003382940111260715,13
85.43085315227509,1.5055910989822787,0.6479222536087036,0.0326408267230919,0.3,100,9,9,1.5,0.1,0.7,0.3,"{'subsample': 0.3, 'reg_alpha': 100, 'min_child_weight': 9, 'max_depth': 9, 'gamma': 1.5, 'eta': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.3}",0.851340373679935,0.8502030869212023,0.845004061738424,0.8474411047928513,0.8453290008123476,0.8440292445166532,0.8443288917777055,0.8526161845953851,0.8490412739681508,0.8529411764705882,0.8482274399273244,0.0032858669628576137,12
